,text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
147,beeotch,bitch,,,sexual orientation / gender,,,1.0,Mild
149,bellend,bellend,,,sexual anatomy / sexual acts,,,1.2,Mild
150,bender,bender,,,sexual orientation / gender,,,1.6,Strong
151,bewbs,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild
152,beyoch,bitch,,,sexual orientation / gender,,,1.2,Mild
154,bi + ch,bitch,,,sexual orientation / gender,,,1.2,Mild
155,bi+ch,bitch,,,sexual orientation / gender,,,1.4,Mild
156,biatch,bitch,,,sexual orientation / gender,,,1.2,Mild
157,biches,bitch,,,sexual orientation / gender,,,1.4,Mild
158,biotch,bitch,,,sexual orientation / gender,,,1.0,Mild
159,biotches,bitch,,,sexual orientation / gender,,,1.2,Mild
160,biotchez,bitch,,,sexual orientation / gender,,,1.4,Mild
161,bishes,bitch,,,sexual orientation / gender,,,1.2,Mild
162,bitch,bitch,,,sexual orientation / gender,,,1.4,Mild
163,bitch3s,bitch,,,sexual orientation / gender,,,1.2,Mild
164,bitchass,bitch,ass,,sexual orientation / gender,other / general insult,,1.6,Strong
165,bitchasses,bitch,ass,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
166,bitched,bitch,,,sexual orientation / gender,,,1.2,Mild
167,bitcher,bitch,,,sexual orientation / gender,,,1.4,Mild
168,bitchers,bitch,,,sexual orientation / gender,,,1.4,Mild
169,bitches,bitch,,,sexual orientation / gender,,,1.6,Strong
170,bitchez,bitch,,,sexual orientation / gender,,,1.4,Mild
171,bitchfuck,fuck,bitch,,sexual anatomy / sexual acts,,,2.4,Strong
172,bitchhole,bitch,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
175,bitching,bitch,,,sexual orientation / gender,,,1.0,Mild
176,bitchlike,bitch,,,sexual orientation / gender,,,1.2,Mild
177,bitchness,bitch,,,sexual orientation / gender,,,1.6,Strong
178,bitchs,bitch,,,sexual orientation / gender,,,1.0,Mild
179,bitchslap,bitch,,,sexual orientation / gender,other / general insult,,1.0,Mild
180,bitchtits,bitch,,,sexual anatomy / sexual acts,,,2.2,Strong
181,bitchy,bitch,,,sexual orientation / gender,,,1.2,Mild
182,bitchy ass,bitch,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
183,bizzach,bitch,,,sexual orientation / gender,,,1.6,Strong
184,BJ,blowjob,,,sexual anatomy / sexual acts,,,1.6,Strong
186,blow a load,blow a load,,,bodily fluids / excrement,,,1.6,Strong
187,blow job,blowjob,,,sexual anatomy / sexual acts,,,2.0,Strong
188,blowjob,blowjob,,,sexual anatomy / sexual acts,,,1.2,Mild
189,blumpkin boy,blumpkin,,,sexual anatomy / sexual acts,,,2.4,Strong
190,boll0ck,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild
191,bollock,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild
192,bollockchops,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
193,bollocks,bollocks,,,sexual anatomy / sexual acts,,,1.2,Mild
194,bollocktician,bollocks,,,sexual anatomy / sexual acts,,,1.4,Mild
195,bollox,bollocks,,,sexual anatomy / sexual acts,,,1.0,Mild
196,bondage,bondage,,,sexual anatomy / sexual acts,,,1.0,Mild
197,boner,boner,,,sexual anatomy / sexual acts,,,1.0,Mild
198,bonk juice,bonk,,,bodily fluids / excrement,,,1.6,Strong
199,boobs,boobs,,,sexual anatomy / sexual acts,,,1.0,Mild
200,booty,booty,,,sexual anatomy / sexual acts,,,1.0,Mild
201,breasticles,breast,,,sexual anatomy / sexual acts,,,1.4,Mild
202,breasts,breast,,,sexual anatomy / sexual acts,,,1.0,Mild
203,bugger,bugger,,,sexual anatomy / sexual acts,other / general insult,,1.2,Mild
204,bugger off,bugger,,,sexual anatomy / sexual acts,other / general insult,,1.0,Mild
205,bull shit,shit,,,bodily fluids / excrement,animal references,,1.0,Mild
206,bullshi,shit,,,bodily fluids / excrement,,,1.0,Mild
207,bullshit,shit,,,bodily fluids / excrement,animal references,,1.2,Mild
208,bullshite,shit,,,bodily fluids / excrement,,,1.0,Mild
209,bum-bandits,bum,,,sexual orientation / gender,,,1.8,Strong
210,bum-driller,bum,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
211,bumhole,bum,,,sexual anatomy / sexual acts,,,1.0,Mild
212,bung hole,bung,,,sexual anatomy / sexual acts,,,1.0,Mild
213,butt fuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
214,butt fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
215,butt hole,butt,,,sexual anatomy / sexual acts,,,1.0,Mild
216,butt pirate,butt,,,sexual orientation / gender,,,2.2,Strong
217,butt-fucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
218,butt-fuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
219,butt-fucking-bandit,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
220,butt-munchers,butt,,,sexual anatomy / sexual acts,,,2.0,Strong
222,buttfuck,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
223,buttfucker,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
224,buttfuckers,fuck,butt,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
225,butthole,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.2,Mild
226,butthole boy,butt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
227,bwc,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
228,c*nt,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
229,c*ntface,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,3.0,Severe
230,c*nts,cunt,,,sexual orientation / gender,,,2.8,Severe
231,c*nty,cunt,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
234,c0ck,cock,,,sexual anatomy / sexual acts,,,1.2,Mild
235,c0ckhead,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
236,c0cks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong
237,c0cksuccer,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
238,c0cksucked,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
239,c0cksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
240,c0cksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
241,c0x,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
242,c0xux0r,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
243,caaak,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
244,caca,shit,,,bodily fluids / excrement,,,1.0,Mild
245,cack,cock,,,bodily fluids / excrement,,,1.2,Mild
246,cagone,cojones,,,bodily fluids / excrement,,,1.2,Mild
247,cajones,cojones,,,sexual anatomy / sexual acts,,,1.0,Mild
249,cameltoe,cameltoe,,,sexual anatomy / sexual acts,,,1.2,Mild
250,carpet muncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.4,Strong
251,carpetmuncher,carpet muncher,,,sexual anatomy / sexual acts,,,2.6,Severe
252,carpetmunchers,carpet muncher,,,sexual orientation / gender,,,2.2,Strong
253,carpetmunching,carpet muncher,,,sexual anatomy / sexual acts,,,1.6,Strong
254,cawk,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
255,cawk muncher,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
256,cawkmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
257,cawks,cock,,,sexual anatomy / sexual acts,,,1.2,Mild
258,cawksucker,cock,,,sexual anatomy / sexual acts,,,2.6,Severe
260,chesticles,testicles,,,sexual anatomy / sexual acts,,,1.0,Mild
267,choad nectar,choad,,,bodily fluids / excrement,,,2.0,Strong
268,chocha,chocha,,,sexual anatomy / sexual acts,,,2.4,Strong
269,choke the chicken,choke the chicken,,,sexual anatomy / sexual acts,,,1.4,Mild
271,clitlickers,clit,,,sexual anatomy / sexual acts,,,2.0,Strong
272,closet fuckhead,fuck,,,sexual orientation / gender,,,2.8,Severe
273,clusterfuck,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
274,clusterfucked,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
275,clusterfucker,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
276,clusterfucking,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
277,clusterfucks,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
278,cobb knobbler,knob,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
279,cock,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
280,cock droplets,cock,,,bodily fluids / excrement,sexual anatomy / sexual acts,,2.4,Strong
281,cock head,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
282,cock jockey,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
283,cock knocker,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
284,cock licker,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
285,cock munch,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
286,cock rider,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
287,cock smoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
288,cock snot,cock,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
289,cock suck,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
290,cock sucker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
291,cock sucking,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
292,cock sucking boiolas,cock,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
293,cock sucking nob jokeys,cock,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
294,cock tease,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
295,cock-face,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
296,cock-gobbler,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
297,cock-head,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
298,cock-sucker,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
299,cock-suckers,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
300,cockboy,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
301,cockeater,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
302,cockface,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
303,cockgobbler,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
304,cockh3ad,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
305,cockhead,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
306,cockheads,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
307,cockhed,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
308,cockless,cock,,,sexual anatomy / sexual acts,,,1.4,Mild
309,cocklicker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
310,cockmonger,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
311,cockmunch,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
312,cockmuncher,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
313,cocks,cock,,,sexual anatomy / sexual acts,,,1.6,Strong
314,cockshit,cock,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
315,cockskin,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
316,cocksmoker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
317,cocksucc,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
318,cocksuccas,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
319,cocksuccer,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
320,cocksuccers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
321,cocksuck,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
322,cocksuckas,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
323,cocksucked,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
324,cocksucker,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
325,cocksuckers,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
326,cocksucking,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
327,cocksucking mothafuckers,motherfucker,cock,,sexual anatomy / sexual acts,other / general insult,,3.0,Severe
328,cocksucks,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
329,cocksuk,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
330,cocksuka,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
331,cocksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
332,cocsuck,cock,,,sexual anatomy / sexual acts,,,2.0,Strong
333,cokmuncher,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
334,coksucka,cock,,,sexual anatomy / sexual acts,,,1.8,Strong
342,coot,coot,,,sexual anatomy / sexual acts,,,1.6,Strong
343,coot coot,coot,,,sexual anatomy / sexual acts,,,1.4,Mild
344,cooter,coot,,,sexual anatomy / sexual acts,,,1.2,Mild
345,cooter shooting,coot,,,sexual anatomy / sexual acts,,,2.6,Severe
346,cooterpuffing,coot,,,sexual anatomy / sexual acts,,,2.4,Strong
349,crazy mofos,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,1.4,Mild
351,creampie,creampie,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
352,crotch,crotch,,,sexual anatomy / sexual acts,,,1.0,Mild
353,crotch fiddler,crotch,,,sexual anatomy / sexual acts,,,2.2,Strong
354,crotchy,crotch,,,sexual anatomy / sexual acts,,,1.4,Mild
356,crows,crow,,,sexual orientation / gender,animal references,,1.4,Mild
357,cuksuker,cock,,,sexual anatomy / sexual acts,,,2.4,Strong
358,cuksukka,cock,,,sexual anatomy / sexual acts,,,2.2,Strong
359,cum goon,cum,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.0,Strong
360,cumball,cum,,,bodily fluids / excrement,,,2.4,Strong
361,cumdumpster,cum,,,bodily fluids / excrement,,,2.8,Severe
362,cumming,cum,,,bodily fluids / excrement,,,1.6,Strong
363,cums,cum,,,bodily fluids / excrement,,,1.4,Mild
364,cumslut,cum,,,bodily fluids / excrement,other / general insult,,2.8,Severe
365,cumz,cum,,,bodily fluids / excrement,,,2.0,Strong
366,cunnilingus,cunnilingus,,,sexual anatomy / sexual acts,,,2.0,Strong
367,cunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
368,cunt ass,cunt,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
369,cunt fart,cunt,fart,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.6,Severe
370,cunt lick,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe
371,cunt licker,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe
372,cunt lips,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
373,cuntasaurus rex,cunt,,,sexual anatomy / sexual acts,animal references,,2.8,Severe
374,cuntbag,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe
375,cuntbollock,cunt,,,sexual anatomy / sexual acts,,,2.2,Strong
376,cuntelope,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong
377,cuntits,cunt,tits,,sexual anatomy / sexual acts,,,2.8,Severe
378,cuntless,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
379,cuntlick,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe
380,cuntlicker,cunt,,,sexual anatomy / sexual acts,,,2.4,Strong
381,cuntlickers,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
382,cuntness,cunt,,,sexual anatomy / sexual acts,,,3.0,Severe
383,cunts,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
384,cunty,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
385,cuntz,cunt,,,sexual anatomy / sexual acts,,,2.8,Severe
386,cuunt,cunt,,,sexual anatomy / sexual acts,,,2.6,Severe
387,cyberfck,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
388,cyberfcks,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
389,cyberfuccs,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
390,cyberfucks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
391,cyberfucs,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
392,cyberfukk,fuck,,,sexual anatomy / sexual acts,,,2.0,Strong
393,cyberfukks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
394,cyberfvcks,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
395,d!ck,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
396,d!cks,dick,,,sexual anatomy / sexual acts,,,1.0,Mild
397,d!ld0,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
398,d!ldo,dildo,,,sexual anatomy / sexual acts,,,1.4,Mild
399,d0ggy style,doggy style,,,sexual anatomy / sexual acts,,,1.8,Strong
